Nro.;Fecha-Hora de Medicion;Rio Copiapo en -AltLM (m);Rio Copiapo en -Caudal (m3/seg);Copiapo -PpAcu (mm);Copiapo -Pp1Hra (mm)
1;20-03-2015 0:00;0.350;1.112;0.000;0.000
2;20-03-2015 1:00;0.350;1.112;0.000;0.000
3;20-03-2015 2:00;0.390;1.316;0.000;0.000
4;20-03-2015 3:00;0.420;1.493;0.000;0.000
5;20-03-2015 4:00;0.430;1.555;0.000;0.000
6;20-03-2015 5:00;0.430;1.555;0.000;0.000
7;20-03-2015 6:00;0.440;1.618;0.000;0.000
8;20-03-2015 7:00;0.450;1.681;0.000;0.000
9;20-03-2015 8:00;0.450;1.681;0.000;0.000
10;20-03-2015 9:00;0.440;1.618;0.000;0.000
11;20-03-2015 10:00;0.430;1.555;0.000;0.000
12;20-03-2015 11:00;0.420;1.493;0.000;0.000
13;20-03-2015 12:00;0.420;1.493;0.000;0.000
14;20-03-2015 13:00;0.410;1.430;0.000;0.000
15;20-03-2015 14:00;0.400;1.367;0.000;0.000
16;20-03-2015 15:00;0.390;1.316;0.000;0.000
17;20-03-2015 16:00;0.370;1.214;0.000;0.000
18;20-03-2015 17:00;0.370;1.214;0.000;0.000
19;20-03-2015 18:00;0.370;1.214;0.000;0.000
20;20-03-2015 19:00;0.360;1.163;0.000;0.000
21;20-03-2015 20:00;0.350;1.112;0.000;0.000
22;20-03-2015 21:00;0.350;1.112;0.000;0.000
23;20-03-2015 22:00;0.340;1.077;0.000;0.000
24;20-03-2015 23:00;0.330;1.043;0.000;0.000
25;21-03-2015 0:00;0.330;1.043;0.000;0.000
26;21-03-2015 1:00;0.340;1.077;0.000;0.000
27;21-03-2015 2:00;0.350;1.112;0.000;0.000
28;21-03-2015 3:00;0.360;1.163;0.000;0.000
29;21-03-2015 4:00;0.390;1.316;0.000;0.000
30;21-03-2015 5:00;0.410;1.430;0.000;0.000
31;21-03-2015 6:00;0.410;1.430;0.000;0.000
32;21-03-2015 7:00;0.420;1.493;0.000;0.000
33;21-03-2015 8:00;0.430;1.555;0.000;0.000
34;21-03-2015 9:00;0.430;1.555;0.000;0.000
35;21-03-2015 10:00;0.410;1.430;0.000;0.000
36;21-03-2015 11:00;0.410;1.430;0.000;0.000
37;21-03-2015 12:00;0.400;1.367;0.000;0.000
38;21-03-2015 13:00;0.400;1.367;0.000;0.000
39;21-03-2015 14:00;0.390;1.316;0.000;0.000
40;21-03-2015 15:00;0.390;1.316;0.000;0.000
41;21-03-2015 16:00;0.390;1.316;0.000;0.000
42;21-03-2015 17:00;0.380;1.265;0.000;0.000
43;21-03-2015 18:00;0.370;1.214;0.000;0.000
44;21-03-2015 19:00;0.360;1.163;0.000;0.000
45;21-03-2015 20:00;0.360;1.163;0.000;0.000
46;21-03-2015 21:00;0.360;1.163;0.000;0.000
47;21-03-2015 22:00;0.350;1.112;0.000;0.000
48;21-03-2015 23:00;0.350;1.112;0.000;0.000
49;22-03-2015 0:00;0.350;1.112;0.000;0.000
50;22-03-2015 1:00;0.360;1.163;0.000;0.000
51;22-03-2015 2:00;0.360;1.163;0.000;0.000
52;22-03-2015 3:00;0.370;1.214;0.000;0.000
53;22-03-2015 4:00;0.380;1.265;0.000;0.000
54;22-03-2015 5:00;0.400;1.367;0.000;0.000
55;22-03-2015 6:00;0.400;1.367;0.000;0.000
56;22-03-2015 7:00;0.410;1.430;0.000;0.000
57;22-03-2015 8:00;0.420;1.493;0.000;0.000
58;22-03-2015 9:00;0.410;1.430;0.000;0.000
59;22-03-2015 10:00;0.410;1.430;0.000;0.000
60;22-03-2015 11:00;0.410;1.430;0.000;0.000
61;22-03-2015 12:00;0.400;1.367;0.000;0.000
62;22-03-2015 13:00;0.390;1.316;0.000;0.000
63;22-03-2015 14:00;0.390;1.316;0.000;0.000
64;22-03-2015 15:00;0.380;1.265;0.000;0.000
65;22-03-2015 16:00;0.380;1.265;0.000;0.000
66;22-03-2015 17:00;0.370;1.214;0.000;0.000
67;22-03-2015 18:00;0.370;1.214;0.000;0.000
68;22-03-2015 19:00;0.360;1.163;0.000;0.000
69;22-03-2015 20:00;0.360;1.163;0.000;0.000
70;22-03-2015 21:00;0.350;1.112;0.000;0.000
71;22-03-2015 22:00;0.350;1.112;0.000;0.000
72;22-03-2015 23:00;0.340;1.077;0.000;0.000
73;23-03-2015 0:00;0.340;1.077;0.000;0.000
74;23-03-2015 1:00;0.340;1.077;;
75;23-03-2015 2:00;0.350;1.112;0.000;
76;23-03-2015 3:00;0.360;1.163;0.000;0.000
77;23-03-2015 4:00;0.390;1.316;0.000;0.000
78;23-03-2015 5:00;0.390;1.316;0.000;0.000
79;23-03-2015 6:00;0.390;1.316;0.000;0.000
80;23-03-2015 7:00;0.390;1.316;0.000;0.000
81;23-03-2015 8:00;0.390;1.316;0.000;0.000
82;23-03-2015 9:00;0.390;1.316;0.000;0.000
83;23-03-2015 10:00;0.380;1.265;0.000;0.000
84;23-03-2015 11:00;0.380;1.265;0.000;0.000
85;23-03-2015 12:00;0.380;1.265;0.000;0.000
86;23-03-2015 13:00;0.380;1.265;0.000;0.000
87;23-03-2015 14:00;0.380;1.265;0.000;0.000
88;23-03-2015 15:00;0.370;1.214;0.000;0.000
89;23-03-2015 16:00;0.360;1.163;0.000;0.000
90;23-03-2015 17:00;0.330;1.043;0.000;0.000
91;23-03-2015 18:00;0.330;1.043;0.000;0.000
92;23-03-2015 19:00;0.320;1.008;0.000;0.000
93;23-03-2015 20:00;0.320;1.008;0.000;0.000
94;23-03-2015 21:00;0.310;0.974;0.000;0.000
95;23-03-2015 22:00;0.300;0.939;0.000;0.000
96;23-03-2015 23:00;0.290;0.904;0.000;0.000
97;24-03-2015 0:00;0.290;0.904;0.000;0.000
98;24-03-2015 1:00;0.290;0.904;0.000;0.000
99;24-03-2015 2:00;0.290;0.904;0.100;0.100
100;24-03-2015 3:00;0.290;0.904;0.400;0.300
101;24-03-2015 4:00;0.340;1.077;0.500;0.100
102;24-03-2015 5:00;0.370;1.214;0.700;0.200
103;24-03-2015 6:00;0.390;1.316;0.900;0.200
104;24-03-2015 7:00;0.390;1.316;2.100;1.200
105;24-03-2015 8:00;0.400;1.367;2.200;0.100
106;24-03-2015 9:00;0.410;1.430;2.200;0.000
107;24-03-2015 10:00;0.440;1.618;2.200;0.000
108;24-03-2015 11:00;0.480;1.892;2.200;0.000
109;24-03-2015 12:00;0.570;2.699;2.200;0.000
110;24-03-2015 13:00;0.570;2.699;2.200;0.000
111;24-03-2015 14:00;0.820;6.031;2.200;0.000
112;24-03-2015 15:00;0.820;6.031;2.200;0.000
113;24-03-2015 16:00;0.810;6.031;2.200;0.000
114;24-03-2015 17:00;0.870;7.490;2.200;0.000
115;24-03-2015 18:00;0.770;5.467;2.200;0.000
116;24-03-2015 19:00;0.730;4.768;2.200;0.000
117;24-03-2015 20:00;0.745;5.010;2.200;0.000
118;24-03-2015 21:00;0.760;5.279;2.200;0.000
119;24-03-2015 22:00;0.930;8.870;2.200;0.000
120;24-03-2015 23:00;0.950;9.350;2.200;0.000
121;25-03-2015 0:00;0.970;6.031;2.200;0.000
122;25-03-2015 1:00;0.960;6.031;;
123;25-03-2015 2:00;0.950;6.031;2.300;
124;25-03-2015 3:00;0.800;5.091;2.300;0.000
125;25-03-2015 4:00;0.840;6.031;2.300;0.000
126;25-03-2015 5:00;0.880;6.031;2.500;0.200
127;25-03-2015 6:00;0.930;6.031;2.500;0.000
128;25-03-2015 7:00;1.000;6.031;;
129;25-03-2015 8:00;1.000;6.031;;
130;25-03-2015 9:00;1.210;13.950;;
131;25-03-2015 10:00;1.180;13.950;;
132;25-03-2015 11:00;1.160;13.950;;
133;25-03-2015 12:00;1.230;18.148;2.900;
134;25-03-2015 13:00;1.290;20.133;;
135;25-03-2015 14:00;1.410;24.188;;
136;25-03-2015 15:00;1.480;26.601;;
137;25-03-2015 16:00;1.590;31.240;3.300;
138;25-03-2015 17:00;1.700;36.300;;
139;25-03-2015 18:00;1.450;25.561;;
140;25-03-2015 19:00;1.560;29.560;;
141;25-03-2015 20:00;1.490;26.947;;
142;25-03-2015 21:00;1.470;26.254;3.600;
143;25-03-2015 22:00;1.445;25.389;;
144;25-03-2015 23:00;1.420;24.531;;
145;26-03-2015 0:00;1.410;24.188;;
146;26-03-2015 1:00;1.353;22.259;;
147;26-03-2015 2:00;1.297;20.354;;
148;26-03-2015 3:00;1.240;18.476;;
149;26-03-2015 4:00;1.210;17.491;4.000;
150;26-03-2015 5:00;0.950;9.350;4.000;0.000
151;26-03-2015 6:00;0.950;9.350;4.000;0.000
152;26-03-2015 7:00;1.080;13.330;4.100;0.100
153;26-03-2015 8:00;1.060;12.710;;
154;26-03-2015 9:00;1.030;11.760;;
155;26-03-2015 10:00;0.940;9.110;4.100;
156;26-03-2015 11:00;0.910;8.390;-;-
157;26-03-2015 12:00;-;-;-;-
158;26-03-2015 13:00;-;-;-;-
159;26-03-2015 14:00;-;-;-;-
160;26-03-2015 15:00;-;-;-;-
161;26-03-2015 16:00;-;-;-;-
162;26-03-2015 17:00;-;-;-;-
163;26-03-2015 18:00;-;-;-;-
164;26-03-2015 19:00;-;-;-;-
165;26-03-2015 20:00;-;-;-;-
166;26-03-2015 21:00;-;-;-;-
167;26-03-2015 22:00;-;-;-;-
168;26-03-2015 23:00;-;-;-;-
